emp_id,name,gender,age,department,sub_function,band,location,date_of_joining,tenure_years,monthly_ctc,band_midpoint,comp_ratio,last_promotion_years,commute_km,engagement_score,performance_rating,work_mode,attrition_flag,attrition_month,attrition_reason,manager_id
EMP-00025,Farhan Shah,M,37,Legal,Contracts,M3,Cuttack,2025-04-21,0.7,73891,85000,0.869,0.7,1,2.9,3,On-site,0,,,EMP-01167
EMP-00026,Rajesh Shah,F,43,R&D,Packaging Dev,M1,Kolkata,2024-09-14,1.3,34192,35000,0.977,1.3,3,1.9,5,On-site,0,,,EMP-02894
EMP-00027,Pooja Kaur,F,37,HR,HRBP,M2,Chennai,2021-09-15,4.3,61633,55000,1.121,4.3,25,4.1,2,On-site,0,,,EMP-00340
EMP-00028,Saanvi Pillai,M,36,Sales,Key Accounts,M1,Kolkata,2019-03-17,6.8,24995,35000,0.714,2.0,11,2.9,3,On-site,0,,,EMP-02440
EMP-00029,Imran Mehta,M,44,Supply Chain,Warehouse,M1,Ludhiana,2022-07-04,3.5,25028,35000,0.715,3.1,14,4.4,1,On-site,0,,,EMP-00380
EMP-00030,Aditya Reddy,F,38,IT,Data & Analytics,M3,Pune,2016-04-23,9.7,97489,85000,1.147,2.2,6,3.4,3,On-site,0,,,EMP-03296
EMP-00031,Karan Pillai,M,35,Marketing,Trade Marketing,M3,Noida,2023-08-09,2.4,105674,85000,1.243,0.1,20,3.2,4,On-site,0,,,EMP-02301
EMP-00032,Arjun Mehta,M,46,HR,Talent Acquisition,M5,Guwahati,2024-02-08,1.9,183441,230000,0.798,0.8,12,4.6,3,Remote,0,,,EMP-00785
EMP-00033,Sai Das,M,35,Supply Chain,Warehouse,M2,Guwahati,2019-01-03,7.0,55884,55000,1.016,0.5,15,2.2,2,Hybrid,0,,,EMP-02275
EMP-00034,Krishna Kapoor,F,32,Finance,Controllership,M2,Nagpur,2025-10-20,0.2,51484,55000,0.936,0.2,8,4.7,3,On-site,0,,,EMP-01017
EMP-00035,Ishaan Deshpande,M,27,Marketing,Digital,M2,Jaipur,2019-04-23,6.7,52705,55000,0.958,6.7,4,2.8,2,On-site,0,,,EMP-01378
EMP-00036,Simran Shah,M,40,Manufacturing,Maintenance,M1,Cuttack,2024-10-20,1.2,36711,35000,1.049,0.4,1,3.5,3,On-site,0,,,EMP-02888
EMP-00037,Deepak Rao,M,44,Manufacturing,Quality,M1,Rudrapur,2022-02-08,3.9,27760,35000,0.793,1.4,1,3.6,4,On-site,0,,,EMP-03883
EMP-00038,Sunita Mukherjee,M,34,IT,Applications,M2,Hyderabad,2025-10-20,0.2,45256,55000,0.823,0.2,2,3.0,3,On-site,0,,,EMP-02753
EMP-00039,Rahul Yadav,M,44,Manufacturing,Production,M1,Pune,2024-05-27,1.6,33313,35000,0.952,1.0,1,2.7,3,Hybrid,0,,,EMP-02413
EMP-00040,Amit Khan,M,21,Marketing,Digital,M3,Cuttack,2014-07-06,11.5,83023,85000,0.977,2.5,21,3.1,3,On-site,0,,,EMP-00233
EMP-00041,Navya Joshi,F,34,Marketing,Brand,M2,Jaipur,2021-03-16,4.8,45092,55000,0.82,1.2,18,2.5,4,Hybrid,1,2025-05-12,low engagement,EMP-03585
EMP-00042,Kavya Shah,F,34,R&D,Product Dev,M4,Pune,2024-09-14,1.3,157688,140000,1.126,1.3,5,5.0,2,Hybrid,0,,,EMP-03885
EMP-00043,Anika Ahmed,M,28,HR,Payroll,M3,Rudrapur,2025-03-15,0.8,79321,85000,0.933,0.8,12,3.0,3,On-site,0,,,EMP-00868
EMP-00044,Rahul Singh,M,53,Sales,Key Accounts,M2,Ahmedabad,2024-01-02,2.0,51288,55000,0.933,1.8,11,4.4,1,Hybrid,1,2025-07-07,low performance rating,EMP-01057
EMP-00045,Saanvi Banerjee,F,33,Legal,Compliance,M4,Noida,2025-01-01,1.0,146332,140000,1.045,1.0,30,4.3,2,On-site,0,,,EMP-00541
EMP-00046,Rajesh Singh,M,31,Customer Service,Distributor Care,M4,Bengaluru,2017-05-29,8.6,137112,140000,0.979,2.0,2,3.7,3,Remote,0,,,EMP-00170
EMP-00047,Vivaan Mishra,M,34,Manufacturing,Maintenance,M2,Guwahati,2021-11-27,4.1,62370,55000,1.134,0.6,43,3.3,4,On-site,0,,,EMP-01523
EMP-00048,Ishaan Khan,M,21,IT,Applications,M1,Pune,2021-11-27,4.1,29773,35000,0.851,1.1,1,3.6,2,On-site,1,2025-08-21,low performance rating,EMP-00315
EMP-00049,Aarav Menon,M,28,Manufacturing,Maintenance,M3,Ludhiana,2016-10-23,9.2,65996,85000,0.776,2.3,18,3.9,5,On-site,0,,,EMP-00713
EMP-00050,Farhan Sharma,M,42,Customer Service,Consumer Care,M1,Hyderabad,2022-01-02,4.0,33265,35000,0.95,1.4,1,3.5,3,On-site,0,,,EMP-02653
EMP-00051,Aarav Ahmed,M,29,HR,Talent Acquisition,M1,Rudrapur,2005-10-25,20.2,35337,35000,1.01,0.2,21,2.0,4,Hybrid,0,,,EMP-01737
EMP-00052,Diya Bose,M,27,R&D,Packaging Dev,M1,Indore,2024-03-15,1.8,28052,35000,0.801,1.8,3,1.8,3,Hybrid,1,2025-02-27,low engagement,EMP-00905
EMP-00053,Simran Yadav,M,44,Marketing,Trade Marketing,M4,Bengaluru,2022-03-16,3.8,108914,140000,0.778,2.9,5,4.8,3,On-site,0,,,EMP-03924
EMP-00054,Zoya Joshi,M,45,R&D,Packaging Dev,M3,Hyderabad,2024-11-26,1.1,87479,85000,1.029,0.6,33,1.0,4,Hybrid,1,2025-09-07,low engagement,EMP-03101
EMP-00055,Sanjay Naidu,M,38,Finance,FP&A,M3,Ludhiana,2022-11-27,3.1,74694,85000,0.879,3.1,19,3.6,3,On-site,0,,,EMP-00024
EMP-00056,Sai Malhotra,M,30,Manufacturing,Maintenance,M4,Chennai,2023-09-15,2.3,107464,140000,0.768,1.7,14,3.2,3,On-site,0,,,EMP-01950
EMP-00057,Arjun Naidu,M,32,Sales,Field Sales,M2,Rudrapur,2025-03-15,0.8,63495,55000,1.154,0.3,17,3.5,4,On-site,0,,,EMP-02155
EMP-00058,Vivaan Yadav,M,28,Finance,Controllership,M2,Hyderabad,2024-09-14,1.3,49440,55000,0.899,0.6,9,2.4,4,Hybrid,1,2025-05-09,low engagement,EMP-03949
EMP-00059,Kavya Ahmed,M,26,HR,Payroll,M1,Pune,2024-03-15,1.8,41439,35000,1.184,1.8,4,3.7,4,On-site,0,,,EMP-01160
EMP-00060,Krishna Kaur,M,26,Manufacturing,Maintenance,M1,Ludhiana,2023-03-17,2.8,35159,35000,1.005,0.3,38,3.6,2,On-site,0,,,EMP-03836
EMP-00061,Pooja Kapoor,M,29,Finance,Accounts Payable,M3,Chennai,2021-03-16,4.8,89009,85000,1.047,1.5,32,5.0,3,On-site,0,,,EMP-02547
EMP-00062,Rajesh Kaur,M,26,Manufacturing,Quality,M2,Chennai,2024-04-21,1.7,53139,55000,0.966,1.7,25,3.5,3,Hybrid,0,,,EMP-03143
EMP-00063,Pooja Reddy,M,21,IT,Data & Analytics,M2,Guwahati,2025-01-01,1.0,38500,55000,0.7,1.0,9,4.6,3,On-site,0,,,EMP-01339
EMP-00064,Aarav Iyer,M,36,HR,Payroll,M3,Rudrapur,2018-02-09,7.9,69540,85000,0.818,4.7,16,2.1,3,On-site,1,2025-01-10,low engagement,EMP-02348
EMP-00065,Meera Kaur,M,36,Legal,Contracts,M3,Pune,2014-11-29,11.1,83290,85000,0.98,1.5,2,4.3,4,On-site,0,,,EMP-01334
EMP-00066,Aadhya Banerjee,M,48,Marketing,Digital,M2,Nagpur,2023-08-09,2.4,58210,55000,1.058,2.4,6,3.6,4,On-site,0,,,EMP-01933
EMP-00067,Aarav Patel,M,29,Supply Chain,Logistics,M2,Ahmedabad,2023-08-09,2.4,39251,55000,0.714,2.4,4,3.6,3,On-site,1,2025-10-13,below-band pay,EMP-03754
EMP-00068,Vivaan Joshi,M,36,Marketing,Digital,M2,Guwahati,2025-10-20,0.2,54528,55000,0.991,0.2,14,3.7,2,Hybrid,0,,,EMP-01147
EMP-00069,Myra Ahmed,M,37,Marketing,Trade Marketing,M1,Kolkata,2024-09-14,1.3,28715,35000,0.82,1.3,1,4.9,2,On-site,0,,,EMP-03973
EMP-00070,Priya Rao,F,32,Finance,Controllership,M2,Bengaluru,2024-11-26,1.1,57065,55000,1.038,0.6,7,3.6,2,Hybrid,0,,,EMP-03956
EMP-00071,Sai Kapoor,M,40,HR,Talent Acquisition,M1,Rudrapur,2022-08-09,3.4,34891,35000,0.997,3.1,5,2.7,4,Remote,0,,,EMP-00484
EMP-00072,Sunita Khan,M,40,Manufacturing,Maintenance,M2,Chennai,2025-07-03,0.5,61543,55000,1.119,0.5,3,2.8,3,On-site,0,,,EMP-02531
EMP-00073,Riya Malhotra,M,37,R&D,Packaging Dev,M4,Cuttack,2024-05-27,1.6,163897,140000,1.171,1.6,15,4.1,3,On-site,0,,,EMP-02116
EMP-00074,Aarohi Patel,M,32,Supply Chain,Planning,M1,Ahmedabad,2020-11-27,5.1,37570,35000,1.073,0.4,5,3.8,4,On-site,0,,,EMP-01865
EMP-00075,Zoya Kaur,F,31,Customer Service,Distributor Care,M1,Nagpur,2021-07-04,4.5,39818,35000,1.138,1.4,25,2.0,4,On-site,0,,,EMP-01013
EMP-00076,Aditya Shah,M,23,Finance,FP&A,M1,Ludhiana,2024-08-09,1.4,33038,35000,0.944,0.4,2,3.9,3,On-site,0,,,EMP-00358
EMP-00077,Zoya Yadav,M,28,Supply Chain,Planning,M1,Cuttack,2025-05-27,0.6,50809,35000,1.452,0.2,1,2.4,3,On-site,0,,,EMP-01169
EMP-00078,Rajesh Rao,M,29,Legal,Compliance,M3,Chennai,2024-05-27,1.6,68424,85000,0.805,0.1,5,3.8,3,Hybrid,0,,,EMP-02574
EMP-00079,Aarav Rao,F,25,IT,Applications,M2,Ludhiana,2023-03-17,2.8,50356,55000,0.916,2.8,1,2.7,3,Hybrid,0,,,EMP-03723
EMP-00080,Sanjay Iyer,F,38,HR,Payroll,M4,Jaipur,2022-11-27,3.1,160190,140000,1.144,2.3,3,3.1,3,On-site,0,,,EMP-01312
EMP-00081,Myra Pillai,M,44,Customer Service,Consumer Care,M3,Bengaluru,2025-08-08,0.4,95237,85000,1.12,0.4,37,2.9,1,Hybrid,0,,,EMP-01286
EMP-00082,Imran Chatterjee,M,27,Finance,Controllership,M2,Hyderabad,2024-02-08,1.9,59289,55000,1.078,1.9,2,4.8,4,Remote,0,,,EMP-03076
EMP-00083,Ananya Naidu,M,36,Marketing,Digital,M4,Cuttack,2018-07-05,7.5,155127,140000,1.108,0.6,1,3.8,3,On-site,0,,,EMP-03958
EMP-00084,Aadhya Ahmed,F,26,Sales,Field Sales,M1,Noida,2014-05-30,11.6,24500,35000,0.7,1.7,7,4.5,3,On-site,0,,,EMP-02700
EMP-00085,Manish Ahmed,M,32,Finance,Controllership,M1,Hyderabad,2014-02-10,11.9,43900,35000,1.254,2.0,3,5.0,4,Hybrid,0,,,EMP-02439
EMP-00086,Rajesh Pillai,M,28,Sales,Key Accounts,M1,Kanpur,2025-09-14,0.3,33858,35000,0.967,0.3,35,3.4,3,Hybrid,1,2025-04-20,long commute,EMP-01788
EMP-00087,Diya Gupta,F,39,Marketing,Digital,M3,Chennai,2015-07-06,10.5,101944,85000,1.199,1.3,33,4.8,3,On-site,0,,,EMP-01604
EMP-00088,Sneha Nair,M,29,IT,Applications,M2,Kanpur,2019-08-10,6.4,38500,55000,0.7,2.1,33,2.8,3,Hybrid,0,,,EMP-00814
EMP-00089,Arjun Nair,F,42,HR,HRBP,M1,Kanpur,2021-10-21,4.2,36437,35000,1.041,1.1,24,4.5,2,On-site,0,,,EMP-00145
EMP-00090,Navya Mishra,F,32,Manufacturing,Quality,M2,Noida,2023-05-28,2.6,50041,55000,0.91,2.6,5,2.7,3,On-site,0,,,EMP-01359
EMP-00091,Manish Chauhan,F,29,Finance,Accounts Payable,M1,Noida,2024-11-26,1.1,38204,35000,1.092,1.1,6,3.4,3,Hybrid,0,,,EMP-03226
EMP-00092,Aarohi Yadav,M,24,R&D,Packaging Dev,M3,Cuttack,2022-05-28,3.6,89312,85000,1.051,3.6,14,3.9,2,Hybrid,0,,,EMP-00896
EMP-00093,Ayesha Deshpande,M,36,Marketing,Trade Marketing,M2,Kolkata,2025-07-03,0.5,58221,55000,1.059,0.5,2,4.0,4,On-site,0,,,EMP-01873
EMP-00094,Myra Rao,M,41,Finance,FP&A,M2,Kolkata,2025-09-14,0.3,45681,55000,0.831,0.3,5,2.3,4,On-site,0,,,EMP-03094
EMP-00095,Vivaan Kulkarni,F,36,Legal,Compliance,M2,Noida,2015-11-29,10.1,54499,55000,0.991,3.2,3,2.6,3,On-site,1,2025-12-03,low engagement,EMP-02532
EMP-00096,Karan Menon,F,52,IT,Infrastructure,M3,Nagpur,2024-11-26,1.1,82550,85000,0.971,0.5,12,4.0,4,On-site,1,2025-12-28,below-band pay,EMP-01114
EMP-00097,Navya Ahmed,F,45,Legal,Compliance,M2,Kolkata,2016-09-16,9.3,59359,55000,1.079,0.7,18,3.1,3,Hybrid,0,,,EMP-00698
EMP-00098,Simran Yadav,F,32,Supply Chain,Warehouse,M1,Kanpur,2025-04-21,0.7,40540,35000,1.158,0.7,5,2.1,3,On-site,0,,,EMP-02281
EMP-00099,Meera Sharma,M,31,HR,HRBP,M1,Nagpur,2024-10-20,1.2,35843,35000,1.024,1.2,1,3.3,3,Hybrid,0,,,EMP-01735
EMP-00100,Deepak Khan,F,38,Supply Chain,Warehouse,M5,Cuttack,2025-03-15,0.8,183037,230000,0.796,0.8,6,3.3,3,On-site,0,,,EMP-00623
EMP-00101,Vihaan Chauhan,M,27,Finance,Accounts Payable,M4,Cuttack,2023-10-21,2.2,142410,140000,1.017,2.2,7,3.6,3,On-site,0,,,EMP-02003
EMP-00102,Rahul Bose,F,43,Customer Service,Distributor Care,M3,Nagpur,2018-03-17,7.8,120511,85000,1.418,1.6,70,3.9,5,On-site,0,,,EMP-00174
EMP-00103,Vikram Shah,F,37,Customer Service,Consumer Care,M1,Guwahati,2016-08-10,9.4,44218,35000,1.263,0.6,7,3.8,3,Hybrid,0,,,EMP-02648
EMP-00104,Krishna Ahmed,M,36,HR,HRBP,M5,Bengaluru,2023-04-22,2.7,161000,230000,0.7,1.6,2,2.7,3,On-site,1,2025-10-04,below-band pay,EMP-00999
EMP-00105,Ayesha Banerjee,M,39,R&D,Product Dev,M3,Rudrapur,2021-08-09,4.4,85861,85000,1.01,4.4,4,3.0,2,On-site,1,2025-10-11,low performance rating,EMP-03627
EMP-00106,Zoya Kaur,M,48,IT,Data & Analytics,M3,Guwahati,2025-08-08,0.4,97677,85000,1.149,0.4,17,4.2,4,On-site,0,,,EMP-02180
EMP-00107,Ayesha Joshi,F,35,R&D,Packaging Dev,M2,Indore,2025-08-08,0.4,53396,55000,0.971,0.4,14,2.9,1,On-site,1,2025-05-03,low performance rating,EMP-01082
EMP-00108,Aditya Yadav,M,33,IT,Data & Analytics,M1,Kolkata,2019-05-29,6.6,32423,35000,0.926,3.4,23,3.0,4,On-site,0,,,EMP-02591
EMP-00109,Aarohi Verma,M,46,Marketing,Trade Marketing,M1,Kanpur,2023-11-27,2.1,33505,35000,0.957,0.3,7,2.0,2,Hybrid,0,,,EMP-02827
EMP-00110,Myra Mishra,M,42,Finance,FP&A,M4,Nagpur,2020-04-22,5.7,152369,140000,1.088,3.0,24,3.4,4,Hybrid,0,,,EMP-02902
EMP-00111,Vikram Naidu,M,31,Supply Chain,Planning,M2,Ludhiana,2023-10-21,2.2,44893,55000,0.816,0.6,9,3.7,3,On-site,0,,,EMP-01634
EMP-00112,Kavya Singh,F,34,Customer Service,Distributor Care,M1,Cuttack,2022-11-27,3.1,41657,35000,1.19,0.0,28,1.6,3,Hybrid,1,2025-10-26,low engagement,EMP-00285
EMP-00113,Aarav Das,M,36,Legal,Contracts,M2,Nagpur,2022-02-08,3.9,54507,55000,0.991,1.9,36,2.4,3,On-site,0,,,EMP-01095
EMP-00114,Aadhya Singh,M,37,Manufacturing,Production,M2,Ludhiana,2023-08-09,2.4,46772,55000,0.85,2.4,62,2.1,2,On-site,1,2025-09-16,low engagement,EMP-02618
EMP-00115,Sai Yadav,F,23,Sales,Key Accounts,M1,Cuttack,2024-01-02,2.0,41296,35000,1.18,2.0,4,4.1,2,On-site,0,,,EMP-03428
EMP-00116,Manish Malhotra,M,22,Manufacturing,Quality,M4,Kolkata,2024-01-02,2.0,105389,140000,0.753,2.0,1,1.7,2,On-site,0,,,EMP-01744
EMP-00117,Vivaan Deshpande,M,27,Supply Chain,Logistics,M3,Ahmedabad,2025-05-27,0.6,77449,85000,0.911,0.6,2,3.3,3,On-site,0,,,EMP-03203
EMP-00118,Aarohi Kulkarni,M,26,Supply Chain,Warehouse,M3,Ahmedabad,2021-03-16,4.8,77225,85000,0.909,1.3,70,4.0,3,On-site,1,2025-07-07,long commute,EMP-03046
EMP-00119,Deepak Gupta,F,29,IT,Applications,M2,Nagpur,2025-04-21,0.7,73867,55000,1.343,0.7,6,3.6,3,On-site,0,,,EMP-02318
EMP-00120,Anika Rao,F,39,R&D,Packaging Dev,M3,Bengaluru,2025-02-07,0.9,75684,85000,0.89,0.9,1,3.0,4,On-site,0,,,EMP-02077
EMP-00121,Ananya Singh,M,33,Manufacturing,Maintenance,M3,Rudrapur,2023-10-21,2.2,59500,85000,0.7,0.5,6,3.7,4,On-site,0,,,EMP-03205
EMP-00122,Riya Gupta,M,36,IT,Applications,M3,Indore,2023-10-21,2.2,77087,85000,0.907,2.2,8,4.3,5,On-site,0,,,EMP-03726
EMP-00123,Reyansh Sharma,M,24,IT,Applications,M1,Indore,2024-02-08,1.9,37551,35000,1.073,1.9,70,3.3,3,On-site,0,,,EMP-01279
EMP-00124,Farhan Bose,M,30,R&D,Packaging Dev,M2,Kanpur,2019-01-03,7.0,61900,55000,1.125,4.3,9,1.4,3,On-site,0,,,EMP-01884
EMP-00125,Vivaan Pillai,M,39,Legal,Compliance,M1,Chennai,2024-08-09,1.4,47749,35000,1.364,1.1,8,4.4,5,On-site,0,,,EMP-01321
EMP-00126,Amit Kapoor,M,39,Customer Service,Distributor Care,M2,Jaipur,2017-08-10,8.4,67381,55000,1.225,3.8,12,3.8,5,On-site,0,,,EMP-00143
EMP-00127,Navya Patel,M,28,HR,Talent Acquisition,M2,Rudrapur,2022-05-28,3.6,56654,55000,1.03,1.2,3,3.4,5,On-site,0,,,EMP-00566
EMP-00128,Reyansh Chatterjee,F,35,Customer Service,Distributor Care,M1,Cuttack,2022-09-15,3.3,30008,35000,0.857,0.9,6,1.6,3,Hybrid,1,2025-06-26,low engagement,EMP-03293
EMP-00129,Anika Singh,M,52,Sales,Field Sales,M1,Cuttack,2022-03-16,3.8,44095,35000,1.26,3.8,39,3.1,3,On-site,1,2025-02-21,long commute,EMP-01717
EMP-00130,Vihaan Kapoor,M,34,Manufacturing,Quality,M3,Rudrapur,2025-02-07,0.9,79988,85000,0.941,0.9,16,2.6,5,On-site,0,,,EMP-01744
EMP-00131,Amit Mukherjee,F,28,Customer Service,Consumer Care,M1,Rudrapur,2022-04-22,3.7,31314,35000,0.895,3.7,6,2.3,3,On-site,0,,,EMP-02793
EMP-00132,Anika Gupta,M,33,HR,HRBP,M5,Pune,2019-05-29,6.6,214652,230000,0.933,1.8,20,3.3,3,On-site,1,2025-05-17,below-band pay,EMP-03887
EMP-00133,Rajesh Menon,F,35,Marketing,Brand,M3,Kanpur,2021-07-04,4.5,67969,85000,0.8,1.6,1,2.9,5,On-site,0,,,EMP-01502
EMP-00134,Kavya Joshi,M,33,Manufacturing,Maintenance,M2,Jaipur,2025-08-08,0.4,50908,55000,0.926,0.4,24,3.0,4,Remote,0,,,EMP-01744
EMP-00135,Reyansh Khan,F,34,HR,HRBP,M3,Cuttack,2024-02-08,1.9,81830,85000,0.963,1.9,13,4.1,2,On-site,0,,,EMP-02326
EMP-00136,Kavya Pillai,M,22,IT,Infrastructure,M1,Ludhiana,2025-10-20,0.2,39092,35000,1.117,0.2,37,3.6,2,On-site,1,2025-05-14,low performance rating,EMP-03780
EMP-00137,Krishna Gupta,F,26,Supply Chain,Planning,M5,Pune,2024-03-15,1.8,215718,230000,0.938,1.8,1,3.0,4,On-site,0,,,EMP-03174
EMP-00138,Vihaan Mishra,F,33,Legal,Contracts,M2,Rudrapur,2025-05-27,0.6,43846,55000,0.797,0.6,8,2.8,3,Remote,0,,,EMP-00186
EMP-00139,Aditya Das,M,33,Sales,Sales Ops,M4,Jaipur,2023-07-04,2.5,104076,140000,0.743,1.1,9,3.0,4,On-site,0,,,EMP-03688
EMP-00140,Rahul Yadav,M,29,HR,Talent Acquisition,M1,Jaipur,2025-10-20,0.2,36174,35000,1.034,0.2,59,3.2,2,On-site,0,,,EMP-01588
EMP-00141,Arjun Malhotra,F,33,Customer Service,Consumer Care,M2,Hyderabad,2015-02-10,10.9,55639,55000,1.012,3.0,36,3.9,3,On-site,0,,,EMP-00599
EMP-00142,Ishaan Verma,M,34,Supply Chain,Warehouse,M2,Ahmedabad,2024-05-27,1.6,50122,55000,0.911,1.6,17,2.5,4,Hybrid,1,2025-11-18,low engagement,EMP-02044
EMP-00143,Kavya Verma,M,41,Customer Service,Consumer Care,M5,Bengaluru,2020-03-16,5.8,212798,230000,0.925,0.8,9,4.7,5,Hybrid,0,,,EMP-01561
EMP-00144,Riya Menon,M,33,Manufacturing,Quality,M2,Indore,2025-01-01,1.0,58419,55000,1.062,1.0,8,3.9,3,Hybrid,0,,,EMP-03433
EMP-00145,Deepak Gupta,M,37,HR,Talent Acquisition,M2,Bengaluru,2020-11-27,5.1,67237,55000,1.222,3.4,14,1.0,2,Hybrid,0,,,EMP-03152
EMP-00146,Reyansh Ahmed,M,30,Customer Service,Distributor Care,M1,Kolkata,2024-04-21,1.7,30631,35000,0.875,1.3,5,3.5,3,On-site,0,,,EMP-03746
EMP-00147,Vihaan Naidu,M,39,R&D,Product Dev,M2,Cuttack,2022-03-16,3.8,55782,55000,1.014,3.8,11,4.3,3,On-site,0,,,EMP-01130
EMP-00148,Vihaan Mehta,M,37,Finance,Controllership,M2,Guwahati,2015-01-04,11.0,63433,55000,1.153,0.5,18,3.7,5,Hybrid,0,,,EMP-01465
EMP-00149,Pooja Das,M,41,Supply Chain,Planning,M2,Kanpur,2021-08-09,4.4,48170,55000,0.876,0.9,12,3.0,3,On-site,0,,,EMP-01863
EMP-00150,Reyansh Menon,M,40,Marketing,Digital,M1,Hyderabad,2025-05-27,0.6,34912,35000,0.997,0.6,11,3.3,5,On-site,0,,,EMP-01192
EMP-00151,Vikram Patel,F,39,Supply Chain,Warehouse,M4,Rudrapur,2017-01-03,9.0,139149,140000,0.994,3.8,7,3.6,4,On-site,0,,,EMP-02508
EMP-00152,Rajesh Malhotra,M,33,Customer Service,Distributor Care,M4,Cuttack,2020-09-15,5.3,110627,140000,0.79,2.6,5,4.1,3,On-site,0,,,EMP-02218
